State,NoPSAT
Alabama,27.0
Alaska,42.0
Arizona,20.0
Arkansas,19.0
California,18.0
Colorado,23.0
Connecticut,8.0
Delaware,9.0
DistrictofColumbia,13.0
Florida,16.0
Georgia,13.0
Hawaii,26.0
Idaho,17.0
Illinois,34.0
Indiana,6.0
Iowa,24.0
Kansas,21.0
Kentucky,20.0
Louisiana,25.0
Maine,15.0
Maryland,7.0
Massachusetts,9.0
Michigan,27.0
Minnesota,17.0
Mississippi,23.0
Missouri,19.0
Montana,19.0
Nebraska,22.0
Nevada,8.0
New Hampshire,26.0
New Jersey,9.0
New Mexico,14.0
New York,12.0
North Carolina,25.0
North Dakota,27.0
Ohio,15.0
Oklahoma,14.0
Oregon,13.0
Pennsylvania,17.0
Rhode Island,15.0
South Carolina,11.0
South Dakota,32.0
Tennessee,17.0
Texas,10.0
Utah,28.0
Vermont,14.0
Virginia,13.0
Washington,20.0
WestVirginia,44.0
Wisconsin,22.0
Wyoming,22.0
